"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-HQQ7NB0",,,,"User:","root"
"Cmdline:","dstat -t --freespace -m -c -Ctotal,0,1,2,3 --output /mnt/c/Users/seri1/Documents/jupyter/dstat/dstat.csv",,,,"Date:","09 May 2020 17:13:50 JST"
"system","/",,"/init",,"/unified",,"/c",,"memory usage",,,,"total cpu usage",,,,,"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,
"time","/:used","/:free","/init:used","/init:free","/unified:used","/unified:free","/c:used","/c:free","used","free","buff","cach","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl"
09-05 17:14:07,15552081920,253938311168,131119783936,123601342464,0,0,131119783936,123601342464,73023488,6146519040,11476992,300752896,0.248,0.496,99.256,0,0,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0.990,98.020,0,0,
09-05 17:14:08,15552081920,253938311168,131119935488,123601190912,0,0,131119935488,123601190912,73023488,6146519040,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:14:09,15552081920,253938311168,131119951872,123601174528,0,0,131119951872,123601174528,73023488,6146519040,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:14:10,15552081920,253938311168,131119955968,123601170432,0,0,131119955968,123601170432,73023488,6146519040,11476992,300752896,0,0.500,99.500,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.980,98.020,0,0,
09-05 17:14:11,15552081920,253938311168,131120013312,123601113088,0,0,131120013312,123601113088,73023488,6146519040,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:14:12,15552081920,253938311168,131120013312,123601113088,0,0,131120013312,123601113088,73023488,6146519040,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.980,0.980,98.039,0,0,
09-05 17:14:13,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0.499,0,99.501,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:14:14,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0.498,0.249,99.254,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0.990,0.990,98.020,0,0,
09-05 17:14:15,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:16,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:14:17,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,0,0,100,0,0,
09-05 17:14:18,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0,0.500,99.500,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.980,98.020,0,0,
09-05 17:14:19,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:20,15552081920,253938311168,131120041984,123601084416,0,0,131120041984,123601084416,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:21,15552081920,253938311168,131117522944,123603603456,0,0,131117522944,123603603456,73007104,6146535424,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:14:22,15552081920,253938311168,131117522944,123603603456,0,0,131117522944,123603603456,73007104,6146535424,11476992,300752896,0,0.250,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,
09-05 17:14:23,15552081920,253938311168,131117522944,123603603456,0,0,131117522944,123603603456,73007104,6146535424,11476992,300752896,0.249,0.249,99.502,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0.990,99.010,0,0,
09-05 17:14:24,15552081920,253938311168,131117522944,123603603456,0,0,131117522944,123603603456,73007104,6146535424,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:25,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:26,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0.499,99.501,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:14:27,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.249,0,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:14:28,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:29,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.249,0.249,99.502,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.980,0.980,98.039,0,0,
09-05 17:14:30,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:31,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:14:32,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:33,15552081920,253938311168,131117547520,123603578880,0,0,131117547520,123603578880,73007104,6146535424,11476992,300752896,0,0.250,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,
09-05 17:14:34,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0.249,99.751,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:14:35,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:36,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.249,0.249,99.502,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0.990,0,99.010,0,0,
09-05 17:14:37,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:14:38,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.249,0.249,99.501,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.980,0.980,98.039,0,0,
09-05 17:14:39,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.251,0,99.749,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:14:40,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:41,15552081920,253938311168,131117793280,123603333120,0,0,131117793280,123603333120,73007104,6146535424,11476992,300752896,0.249,0.498,99.254,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,1.980,98.020,0,0,
09-05 17:14:42,15552081920,253938311168,131117793280,123603333120,0,0,131117793280,123603333120,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:43,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:44,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0,0.248,99.752,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,
09-05 17:14:45,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.474,0,99.526,0,0,0,0,100,0,0,0.943,0,99.057,0,0,0.943,0,99.057,0,0,0,0,100,0,0,
09-05 17:14:46,15552081920,253938311168,131117531136,123603595264,0,0,131117531136,123603595264,73007104,6146535424,11476992,300752896,0.519,0,99.481,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,2.062,0,97.938,0,0,
09-05 17:14:47,15552081920,253938311168,131123724288,123597402112,0,0,131124084736,123597041664,73007104,6146535424,11476992,300752896,0,0.260,99.740,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.031,98.969,0,0,
09-05 17:14:48,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:49,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0,0.247,99.753,0,0,0,0,100,0,0,0,0.980,99.020,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:50,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:51,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:52,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:53,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0.237,0.237,99.526,0,0,0,0,100,0,0,0,0,100,0,0,0,0.943,99.057,0,0,0.943,0,99.057,0,0,
09-05 17:14:54,15552081920,253938311168,131124445184,123596681216,0,0,131124445184,123596681216,73007104,6146535424,11476992,300752896,0,0.238,99.762,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.943,99.057,0,0,
09-05 17:14:55,15552081920,253938311168,131124445184,123596681216,0,0,132213792768,122507333632,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:56,15552081920,253938311168,132758466560,121962659840,0,0,132758466560,121962659840,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:57,15552081920,253938311168,132757807104,121963319296,0,0,132757807104,121963319296,73007104,6146535424,11476992,300752896,0,0.242,99.758,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.010,98.990,0,0,
09-05 17:14:58,15552081920,253938311168,132756492288,121964634112,0,0,132756492288,121964634112,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:14:59,15552081920,253938311168,132756094976,121965031424,0,0,132756094976,121965031424,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:00,15552081920,253938311168,133847314432,120873811968,0,0,133847314432,120873811968,73007104,6146535424,11476992,300752896,0,0.233,99.767,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.926,99.074,0,0,
09-05 17:15:01,15552081920,253938311168,133847314432,120873811968,0,0,133847314432,120873811968,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:02,15552081920,253938311168,133847314432,120873811968,0,0,133847314432,120873811968,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:03,15552081920,253938311168,133847314432,120873811968,0,0,133847314432,120873811968,73007104,6146535424,11476992,300752896,0.251,0,99.749,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:15:04,15552081920,253938311168,133847314432,120873811968,0,0,133847314432,120873811968,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:05,15552081920,253938311168,133847318528,120873807872,0,0,133847318528,120873807872,73007104,6146535424,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:06,15552081920,253938311168,133847318528,120873807872,0,0,133847318528,120873807872,73007104,6146535424,11476992,300752896,0,0.264,99.736,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.053,98.947,0,0,
09-05 17:15:07,15552081920,253938311168,133847384064,120873742336,0,0,133847384064,120873742336,73187328,6146355200,11476992,300752896,0,0.464,99.536,0,0,0,0,100,0,0,0,0,100,0,0,0,0.926,99.074,0,0,0,0.917,99.083,0,0,
09-05 17:15:08,15552081920,253938311168,133847384064,120873742336,0,0,133847384064,120873742336,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:09,15552081920,253938311168,133847384064,120873742336,0,0,133847384064,120873742336,73285632,6146256896,11476992,300752896,0.249,0.249,99.502,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0.990,99.010,0,0,0,0,100,0,0,
09-05 17:15:10,15552081920,253938311168,133847384064,120873742336,0,0,133847384064,120873742336,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:11,15552081920,253938311168,133847375872,120873750528,0,0,133847375872,120873750528,73285632,6146256896,11476992,300752896,0,0.251,99.749,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:12,15552081920,253938311168,133847425024,120873701376,0,0,133847425024,120873701376,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:13,15552081920,253938311168,133847425024,120873701376,0,0,133847425024,120873701376,73285632,6146256896,11476992,300752896,0.248,0.496,99.256,0,0,0,0,100,0,0,1,0,99,0,0,0,0.990,99.010,0,0,0,1,99,0,0,
09-05 17:15:14,15552081920,253938311168,133847425024,120873701376,0,0,133847425024,120873701376,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:15,15552081920,253938311168,133847425024,120873701376,0,0,133847425024,120873701376,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:16,15552081920,253938311168,133847425024,120873701376,0,0,133847425024,120873701376,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:17,15552081920,253938311168,133847425024,120873701376,0,0,133847425024,120873701376,73285632,6146256896,11476992,300752896,0,0.248,99.752,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.990,99.010,0,0,
09-05 17:15:18,15552081920,253938311168,133847420928,120873705472,0,0,133847420928,120873705472,73285632,6146256896,11476992,300752896,0.253,0,99.747,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,
09-05 17:15:19,15552081920,253938311168,133847420928,120873705472,0,0,133847420928,120873705472,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:20,15552081920,253938311168,133847420928,120873705472,0,0,133847420928,120873705472,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:21,15552081920,253938311168,133847420928,120873705472,0,0,133847420928,120873705472,73285632,6146256896,11476992,300752896,0,0.250,99.750,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:22,15552081920,253938311168,133847179264,120873947136,0,0,133847179264,120873947136,73285632,6146256896,11476992,300752896,0,0.246,99.754,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.980,99.020,0,0,
09-05 17:15:23,15552081920,253938311168,133847179264,120873947136,0,0,133847179264,120873947136,73285632,6146256896,11476992,300752896,0.512,0,99.488,0,0,0,0,100,0,0,1.020,0,98.980,0,0,0,0,100,0,0,1.020,0,98.980,0,0,
09-05 17:15:24,15552081920,253938311168,133847179264,120873947136,0,0,133847179264,120873947136,73285632,6146256896,11476992,300752896,0,0.251,99.749,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.010,98.990,0,0,
09-05 17:15:25,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,
09-05 17:15:26,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0.250,0,99.750,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:27,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:28,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0,0.253,99.747,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,
09-05 17:15:29,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:30,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:31,15552081920,253938311168,133847224320,120873902080,0,0,133847224320,120873902080,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:32,15552081920,253938311168,133847396352,120873730048,0,0,133847396352,120873730048,73285632,6146256896,11476992,300752896,0,0.260,99.740,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.031,98.969,0,0,
09-05 17:15:33,15552081920,253938311168,133847396352,120873730048,0,0,133847396352,120873730048,73285632,6146256896,11476992,300752896,0,0.241,99.759,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0.962,99.038,0,0,
09-05 17:15:34,15552081920,253938311168,133847396352,120873730048,0,0,133847396352,120873730048,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:35,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:36,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0.251,99.749,0,0,0,0,100,0,0,0,0.990,99.010,0,0,0,0,100,0,0,0,0,100,0,0,
09-05 17:15:37,15552081920,253938311168,133847228416,120873897984,0,0,133847228416,120873897984,73285632,6146256896,11476992,300752896,0,0.498,99.502,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,1.980,98.020,0,0,
